Name,Brand,Price,DiscountedPrice,Category,SubCategory,Quantity,Description,BreadCrumbs
Premia Yellow Hing Powder,,60,32,Grocery,Masala & Spices,50 gm,"Storage Condition Store in dry and Hygienic Place  How to Use Add a pinch of Catch Hing to your tadka. Another application is as a direct spice to curries, vegetables and gravies. You can also use Catch Hing for marinating white and red meat.",Grocery > Masala & Spices
Premia Yellow Hing Powder,,110,59,Grocery,Masala & Spices,100 gm,"IngredientsRice Flour, Gram Arabica, Asafoetida.How to UseAdd a pinch of Catch Hing to your tadka. Another application is as a direct spice to curries, vegetables and gravies. You can also use Catch Hing for marinating white and red meat.",Grocery > Masala & Spices
Everest Pav Bhaji Masala,Everest,41,33,Grocery,Masala & Spices,50 gm,"
Pav bhaji masala is the blend that took Mumbai by storm. 'Pav' means a bun shaped homemade bread and 'Bhaji' means mashed vegetables.

From its humble origins in the by-lanes of Mumbai, it has become a 'must' on menus in 5-Star restaurants and celebrity weddings. Dished out in the far-flung corners of the country, it has acquired the status of a foremost vegetarian recipe.
Equally popular as a snack or a meal, this easy-to-cook dish enjoys a special place in the hearts of house wives.

Usage
- In Pavbhaji, and other crushed and mashed veg. cuisine that uses potatoes, tomatoes and capsicums
",Grocery > Masala & Spices
Everest Pav Bhaji Masala,Everest,78,62,Grocery,Masala & Spices,100 gm,"
Pav bhaji masala is the blend that took Mumbai by storm. 'Pav' means a bun shaped homemade bread and 'Bhaji' means mashed vegetables.

From its humble origins in the by-lanes of Mumbai, it has become a 'must' on menus in 5-Star restaurants and celebrity weddings. Dished out in the far-flung corners of the country, it has acquired the status of a foremost vegetarian recipe.
Equally popular as a snack or a meal, this easy-to-cook dish enjoys a special place in the hearts of house wives.

Usage
- In Pavbhaji, and other crushed and mashed veg. cuisine that uses potatoes, tomatoes and capsicums
",Grocery > Masala & Spices
Everest Kitchen King Masala,Everest,80,62,Grocery,Masala & Spices,100 gm,"
Explore the 'Curry' experience with this classic blend that gives vegetable curries a lordly taste and a mild, subdued flavour.

Being coriander and turmeric based, the blend gives curry an appetising golden hue. It is the recommended blend to prepare India's much loved vegetarian dish, home-bred Cheese in fresh green peas - Mattar Paneer.
Paneer curries and light gravies are enhanced with the fragrance and taste of Everest Kitchen King.

Usage
- Ideal for vegetable & paneer dishes with mild curry
",Grocery > Masala & Spices
Everest Turmeric Powder,Everest,70,55,Grocery,Masala & Spices,200 gm,"
A garden-fresh turmeric powder that has a golden-yellow colour, because of its high curcumin (colour property) content. It is a popular variety in India, where turmeric is used as a key colouring agent in 'curries'.

Features
- Has a mild, earthy and woody flavour
- It stimulates protein digestion and is an excellent blood purifier
",Grocery > Masala & Spices
Everest Turmeric Powder,Everest,165,129,Grocery,Masala & Spices,500 gm,"
A garden-fresh turmeric powder that has a golden-yellow colour, because of its high curcumin (colour property) content. It is a popular variety in India, where turmeric is used as a key colouring agent in 'curries'.

Features
- Has a mild, earthy and woody flavour
- It stimulates protein digestion and is an excellent blood purifier
",Grocery > Masala & Spices
Vandevi Hing 2001 Powder,Vandevi,180,110,Grocery,Masala & Spices,100 gm,"Overview:The secret to delicious food - a pinch of hing. Vandevi employs a blend of traditional and modern processing techniques for sorting, cleaning and preparing Hing which is perfect to be used for culinary and medical purposes.IngredientsEdible Gum,Wheat Flour, AsafoetidaHow to UseIt can be added to curries, upmas, rasam etc.About the BrandFor more than 35 years, Sargam Food Pvt. Ltd. has been in the league of one of the most renowned manufacturers and exporters of Vandevi Bandhani Hing (a well known brand since the last 85 Years) and Vaidehi Bandhani Hing, in the market since its inception. ",Grocery > Masala & Spices
Everest Shahi Biryani Masala,Everest,74,59,Grocery,Masala & Spices,50 gm,India,Grocery > Masala & Spices
Everest Coriander Powder,Everest,84,68,Grocery,Masala & Spices,200 gm,"
A perfect blend of garden-fresh aroma and natural green colour. This variety is widely used to give Indian curries its distinct curry flavour. Coriander has a flavour which combines lemon and sage, with a sweet-note as undertone. It's a cooling spice. The Greek and the Romans thought it to be an aphrodisiac. By the third Century B.C the Romans knew it was an excellent seasoning for food. Coriander is native to the Mediterranean area. In India, Gujarat, Rajasthan, Andhra Pradesh, Tamil Nadu and Madhya Pradesh are the major producers.

Usage
- In Indian cuisine, coriander is mainly used for taste
- Frying, roast-ground coriander powder in oil gives the characteristic 'curry' flavour
- Coriander seeds have diuretic properties
- It alleviates gas and tones the digestive tract
",Grocery > Masala & Spices
Everest Coriander Powder,Everest,200,175,Grocery,Masala & Spices,500 gm,"
A perfect blend of garden-fresh aroma and natural green colour. This variety is widely used to give Indian curries its distinct curry flavour. Coriander has a flavour which combines lemon and sage, with a sweet-note as undertone. It's a cooling spice. The Greek and the Romans thought it to be an aphrodisiac. By the third Century B.C the Romans knew it was an excellent seasoning for food. Coriander is native to the Mediterranean area. In India, Gujarat, Rajasthan, Andhra Pradesh, Tamil Nadu and Madhya Pradesh are the major producers.

Usage
- In Indian cuisine, coriander is mainly used for taste
- Frying, roast-ground coriander powder in oil gives the characteristic 'curry' flavour
- Coriander seeds have diuretic properties
- It alleviates gas and tones the digestive tract
",Grocery > Masala & Spices
Everest Yellow Hing Powder,Everest,200,160,Grocery,Masala & Spices,100 gm," OverviewHing is essential in Indian cooking and is used a lot in sambar, dal, vegetables along with other spices. Features & BenefitsWhen released in heated oil, Everest Hing has a smooth and strong flavour. How To UseEverest Yellow Hing is perfect for a subtler flavour in vegetable dishes. Manufacture DetailsEverest",Grocery > Masala & Spices
MTR Sambar Powder,MTR,140,119,Grocery,Masala & Spices,200 gm,"
Sit back and savour the traditional taste of home-made sambar. All with MTR Foods' signature recipe, made the authentic South Indian way!
Garnish it with finely chopped coriander leaves and enjoy it with rice, dosa or Idli
",Grocery > Masala & Spices
Everest Chhole Masala,Everest,40,31,Grocery,Masala & Spices,50 gm,"
An exquisite blend of 24 pure spices, this is perhaps the most elaborate blend in the Everest repertoire. This blend is evenly balanced for taste and flavour and imparts a rare character to chhole, made from chickpeas.

Usage ::Used almost invariably in a variety of preparations involving chickpeas - chhole being the most popular. Served hot with rotis or fluffy bhaturas, chhole is a regular fare for lunch and dinner in North India.
",Grocery > Masala & Spices
Everest Chhole Masala,Everest,78,62,Grocery,Masala & Spices,100 gm,"
An exquisite blend of 24 pure spices, this is perhaps the most elaborate blend in the Everest repertoire. This blend is evenly balanced for taste and flavour and imparts a rare character to chhole, made from chickpeas.

Usage ::Used almost invariably in a variety of preparations involving chickpeas - chhole being the most popular. Served hot with rotis or fluffy bhaturas, chhole is a regular fare for lunch and dinner in North India.
",Grocery > Masala & Spices
Premia Red Chilli Powder,Premia,27,21,Grocery,Grocery/Masala & Spices,100 gm,India,Grocery > Grocery/Masala & Spices
Premia Red Chilli Powder,Premia,50,38,Grocery,Grocery/Masala & Spices,200 gm,India,Grocery > Grocery/Masala & Spices
Premia Red Chilli Powder,Premia,118,94,Grocery,Grocery/Masala & Spices,500 gm,India,Grocery > Grocery/Masala & Spices
Premia Red Chilli Powder,Premia,213,159,Grocery,Grocery/Masala & Spices,1 kg,India,Grocery > Grocery/Masala & Spices
Everest Tea Masala,Everest,120,96,Grocery,Masala & Spices,100 gm,India,Grocery > Masala & Spices
Everest Chicken Masala,Everest,43,38,Grocery,Masala & Spices, 50 gm,"
In this blend, the flavouring agents marginally predominate the taste elements. Consequently, the blend is less steeped in pungency. For chicken curry, this gives the right balance between the spice-elements and other ingredients in the dish.

Usage ::Can be used in mildly flavoured non-veg cuisine, particularly those deriving its thickening foundation from tomato and onion.
",Grocery > Masala & Spices
Everest Chicken Masala,Everest,82,67,Grocery,Masala & Spices,100 gm,"
In this blend, the flavouring agents marginally predominate the taste elements. Consequently, the blend is less steeped in pungency. For chicken curry, this gives the right balance between the spice-elements and other ingredients in the dish.

Usage ::Can be used in mildly flavoured non-veg cuisine, particularly those deriving its thickening foundation from tomato and onion.
",Grocery > Masala & Spices
Tata Sampann Turmeric Powder,Tata Sampann,72,61,Grocery,Masala & Spices,200 gm,"Overview:Tata Sampanns range of spices are crafted to satisfy your taste buds. Tata Sampann sources all its spices & masalas from the most authentic places.Tata Sampann Turmeric Powder is sourced from Salem region in Tamil Nadu, which is famous for its rich yellow highly aromatic turmeric. Made from whole spices that contain natural oils, haldi has an active ingredient called curcumin which is known to act as an antioxidant. This turmeric powder can be teamed up with pulao, greenies, vegetable soup or smoothies, the choice is yours!Key FeaturesHighly Aromatic Turmeric: Enjoy the rich taste of Tata Sampann Turmeric Powder in all your favourite dishes.3% Curcumin: Every pack carries the promise of an active ingredient called curcumin which is known to act as an antioxidant.Sourced from Salem: The turmeric is of the Salem variety, which is named after a region in Tamil Nadu.Contain Natural Oils: Made from whole spices which contain natural oils.Storage ConditionStore in a cool and dry place.",Grocery > Masala & Spices
Everest Sambhar Masala,Everest,37,32,Grocery,Masala & Spices,50 gm,"OverviewThis Everest blend is suited to all kinds of Sambhar preparations.Sambhar is a wonderful recipe from the South of India and can be aptly described as a 'designer health food'. The various dals, vegetables, spices and condiments that go into a typical Sambhar give all the nutrients the body needs.Sambhar can be had with rice as a South Indian does it almost every day, or with Idlis, Vadas, Potato Vadas etc. Sambhar, especially with Idlis has gained universal acceptance in India and is considered an excellent diet food.IngredientsAsafoetida, Bengal Gram, Black Gram, Cassia, Chilli, Common Salt, Coriander, Cumin, Curry Leaf, Fenugreek, Pigeon Pea (Toovar Dal), Rice, Tamarind, TurmericHow To UseAdd 1 heaped tbsp. of Everest Sambhar Masala and simmer before serving.About the BrandEverest is India's No. 1 spice brand as per A.C.Nielsen (Independent Research Agency). Everest offers a wide range of 45 varieties of spices (whole spices and blends) with fifty-two years of dedication to maintaining the same standards of purity, freshness and authenticity in every pack, getting their aroma and flavour, consistently right.",Grocery > Masala & Spices
Everest Sambhar Masala,Everest,70,59,Grocery,Masala & Spices,100 gm,"OverviewThis Everest blend is suited to all kinds of Sambhar preparations.Sambhar is a wonderful recipe from the South of India and can be aptly described as a 'designer health food'. The various dals, vegetables, spices and condiments that go into a typical Sambhar give all the nutrients the body needs.Sambhar can be had with rice as a South Indian does it almost every day, or with Idlis, Vadas, Potato Vadas etc. Sambhar, especially with Idlis has gained universal acceptance in India and is considered an excellent diet food.IngredientsAsafoetida, Bengal Gram, Black Gram, Cassia, Chilli, Common Salt, Coriander, Cumin, Curry Leaf, Fenugreek, Pigeon Pea (Toovar Dal), Rice, Tamarind, TurmericHow To UseAdd 1 heaped tbsp. of Everest Sambhar Masala and simmer before serving.About the BrandEverest is India's No. 1 spice brand as per A.C.Nielsen (Independent Research Agency). Everest offers a wide range of 45 varieties of spices (whole spices and blends) with fifty-two years of dedication to maintaining the same standards of purity, freshness and authenticity in every pack, getting their aroma and flavour, consistently right.",Grocery > Masala & Spices
Everest Meat Masala,Everest,82,69,Grocery,Masala & Spices,100 gm,"
A pepper-coriander-chilli based blend that imparts a dark tan and a hot taste to non-veg dishes, especially meat. Since Indians love their meat really spiced up, a fair amount of flavouring spices lend this blend an aromatic chorus.

Usage
In all meat preparations requiring a dark gravy.
",Grocery > Masala & Spices
Suhana Paneer Tikka Mix Masala,Suhana,45,29,Grocery,Masala & Spices,50 gm,"Key Features- No added MSG, no artificial flavours, no added colours & preservatives.- Lip-smacking taste, super convenient & cooks in minutes.- Low Temperature Grinding so that the spices retain their Freshness and Aroma.- Reduce cooking preparation time by using Suhana spice mixes range.- Use 'Suhana Paneer Tikka Mix' to create a truly memorable meal!- Each Pack Serves 4.",Grocery > Masala & Spices
Snapin Chilli Flakes Spice,Snapin,65,52,Grocery,Masala & Spices,35 gm,"
- Made from finest, sun dried red chillies that are crushed to flake size
- Adds fire and flavour to your food
- Imparts a great natural colour to elevate the aesthetics of daily cooking
",Grocery > Masala & Spices
Badshah Mumbai Bhaji Pav Masala,Badshah Masala,74,52,Grocery,Masala & Spices,100 gm,"Key Features- Badshah masala introduced pav bhaji masala powder to help the lovers of pav bhaji all over India devour the goodness of mashed vegetables with buns rolled in a sea of butter.- No artificial colours and preservatives used. Fresh, healthy, 100% natural and tasty.IngredientsKashmiri Red Chili Fennel Seeds Coriander White Pepper Cumin Stone Flower Cassia Cardamom Celery lodised Salt Cinnamon Leaves Black Salt Kachadi Turmeric CloveCare InstructionsStore in a cool and dry place, away from sunlight.Any Other Must-Know InformationBadshah Mumbai pav bhaji masala is a combination of smashed vegetables and bread. It is similarly popular as a meal or a snack, this simple-to-cook dish enjoys a particular position in the hearts of house wives. It gives an authentic flavour and the red colour which is yummy to eat among children and parents.About the BrandThe vast range of spices Badshah offers you makes every day bland food more appealing, nutritious, and interesting. With the introduction of small economy packs, their products are have penetrated into the smallest of Indian centers as well.",Grocery > Masala & Spices
Suhana Paneer Butter Masala Mix,Suhana,45,35,Grocery,Masala & Spices,50 gm,"Key Features- No added MSG, no artificial flavours, no added colours & preservatives- Low Temperature Grinding so that the spices retain their Freshness and Aroma.- Use 'Suhana Paneer Butter Mix' to create a truly memorable meal!- Each Pack Serves 4.",Grocery > Masala & Spices
Suhana Chicken Biryani Mix,Suhana,45,35,Grocery,Masala & Spices,50 gm,"Overview Part of the culinary legacy of the Mughal empire, biryani is made with fragrant long grain basmati rice, and meat or vegetables marinated in yoghurt and a multitude of spices. Use Suhana chicken biryani mix to create a truly memorable meal.",Grocery > Masala & Spices
Nisarga Desiccated Coconut Powder,Nisarga,85,65,Grocery,Masala & Spices,200 gm,"OverviewDesiccated coconut powder contains high nutritious value and its always better to add the same into your daily meals. Many delicious, healthy and nutritious recipes can be created with this. Especially can be used extensively to extract coconut milk.BenefitsHealth benefits of desiccated coconut powder are many. To name a few, it helps in brain health, provides minerals, strengthens the bone, improves cardiovascular health, gives necessary fibresAny Other Must-Know InformationAs the fresh coconuts procured for the manufacturing of coconut powder is from the coastal Karnataka region (known for best quality coconuts in India) it is superior in taste, sweetness and has a wonderful nutty flavour. There are no additives, preservatives or taste enhancers added to the product. Hence it is in its milk natural form. Since fresh coconuts are perishable, they can spoil easily. However, desiccated coconut powder has almost the same nutrient value of fresh coconuts, and stays good for several months. It is very easy to use and very practical too.About the BrandAn Company is one of the leading suppliers and manufacturers of varied agricultural based, eco-friendly natural products (desiccated coconut powder, copra, cold pressed coconut oil, virgin coconut oil) from coastal Karnataka. They are a start-up company with a strong team of skilled and dedicated work force to deliver the agricultural products in its most natural form. They genuinely care for the health of our consumers and hence we are committed to provide safe & healthy products which are un adulterated, devoid of any preservatives or additives.",Grocery > Masala & Spices
Ramdev Chilli Powder,Ramdev,110,94,Grocery,Masala & Spices,200 gm,"OverviewOf the many flavours associated with Indian cuisine, Chilli is the most emphatic. Not surprisingly, its scorching aroma has an unforgettable effect. Ramdev Chilli Powder is produced from the best quality Chillies from select Indian farms handpicked, sifted and fully de-stalked.Ingredients- (In powder form) - Chillies, Fenugreek, Iodised Salt, Mustard, Mustard Oil, Compounded Asafoetida.Health Benefits- Ramdev Chilli Powder also helps you fill up on vitamins and antioxidants. Hence, it is known to have several health benefits. The hot pepper can prove to be an ally in slimming because it is rich in Capsaicin which helps burn more calories in our body.Nutrients in Ramdev Mirch Powder- Vitamin C : Antioxidant properties, supports the immune system, promotes iron absorption and helps in healing.- Vitamin E : Stops the phenomena of oxidation in our body.- Vitamin A : In the form of carotene, which facilitates metabolism.- Vitamin K : Helps fight haemorrhages and various liver disorders.- Vitamin PP : Remains unaltered in dried chilli.- Minerals : Red Mirchi powder also contains iron, copper, manganese, magnesium and potassium.- Stimulates Metabolism : Capsaicin, present in chilli, contains metabolism-boosting properties. This helps to increase the amount of heat produced by your body, which allows you to burn more calories per day.- May Help Reduce Hunger : Interestingly, consuming Ramdev chilli powder can reduce your hunger, help you eat less, and feel full for longer. Capsaicin helps reduce the production of ghrelin (the hunger hormone). Thus, adding chilli to your food can create a feeling of satiety.- Helps Digestion : Food spices and their active components can provide your stomach with many benefits, for example, Ramdev Mirchi Powder can help strengthen the stomach&rsquo;s defence against infection, increase the production of digestive fluid, and help transmit enzymes to the stomach. This promotes better digestion.UsesRamdev Chilli Powder is known for its vibrant natural colour which comes from the choicest of chillies and perfect pungency that is due to the unmatched quality of dried chillies used. Shop Ramdev Chilli Powder and use it in any dishes across any cuisine worldwide.Storage ConditionStore in a cool and dry place.",Grocery > Masala & Spices
Vandevi Hing 2001 Powder,Vandevi,90,60,Grocery,Masala & Spices,50 gm,"Overview:The secret to delicious food - a pinch of hing. Vandevi employs a blend of traditional and modern processing techniques for sorting, cleaning and preparing Hing which is perfect to be used for culinary and medical purposes.IngredientsEdible Gum, Wheat Flour, AsafoetidaHow to UseIt can be added to curries, upmas, rasam etc.",Grocery > Masala & Spices
Everest Tandoori Chicken Masala,Everest,82,73,Grocery,Masala & Spices,100 gm,India,Grocery > Masala & Spices
Kubal Sunday Malvani Masala,Kubal,165,82,Grocery,Masala & Spices,200 gm,"Overview:Kubal presents their authentic range of masalas that are blended with a wide variety of quality ingredients from the House of KUBAL, the leaders of spices since 1925. The masala contains no artificial colouring and these selected spices will bring a whole new flavour and meaning to your dishes.IngredientsChilli, Coriander, Turmeric, Black Pepper, Cummin, Mustard seeds. Fennel Seeds, Cloves, Cassia, Stone Flower, Cardamom, Cloves Leaves, Tej Patta, Dry Ginger(All ingredients in powder form)How to UseAdd Kubal sunday masala in prepared Veg/non veg. with usual spices in oil/ghee of your choice. Add salt & water. Allow it to boil till the desired taste in achieved.Care InstructionsStore in a cool and dry placeAbout the BrandM/S. K. T. KUBAL & CO. PVT. LTD., has been founded by Late SHRI. KRISHNAJI TUKARAM KUBAL, eminent industrialist, who had an excellent vision of pickles and spices industry. Processing of Pickles and spices commercially 9 decades back was a great challenge as almost all the house wives used to prepare their own pickles and spices at home by adopting their own methods. He anticipated that the women would have to play dominant role in the near future, not only to look after their own houses but also to participate in commercial activities, therefore they would be going in for ready-made food to save time which would include a great demand for ready-made pickles and spices.",Grocery > Masala & Spices
Badshah Hing Compounded,Badshah Masala,95,47,Grocery,Masala & Spices,50 gm,India,Grocery > Masala & Spices
MTR Idli/Dosa/Chilly Chutney Powder,MTR,135,119,Packaged Food,Pickles,200 gm,India,Packaged Food > Pickles
Jalaram Brand Cardamom Powder,Jalaram Brand,110,88,Grocery,Masala & Spices,20 gm,"Any Other Must-Know Information100% Pure & Natural, No Essence, No Preservatives No Colour",Grocery > Masala & Spices
Jalaram Brand Cardamom Powder,Jalaram Brand,55,44,Grocery,Masala & Spices,10 gm,"Any Other Must-Know Information100% Pure & Natural, No Essence, No Preservatives No Colour",Grocery > Masala & Spices
Shan Special Bombay Biryani Masala,Shan,75,65,Grocery,Masala & Spices,60 gm,"Key FeaturesNo PreservativeNo artificial food colourOther must know InformationAllergy Advice: May contain traces of Sulphite, Sesame, Mustard, Soy, Gluten and Tree Nuts. Contains Added Flavour",Grocery > Masala & Spices
Badshah Rajwadi Garam Masala,Badshah Masala,85,60,Grocery,Masala & Spices,100 gm,India,Grocery > Masala & Spices
Everest Pani Puri Masala,Everest,35,29,Grocery,Masala & Spices,50 gm,India,Grocery > Masala & Spices
Goldiee Kashmiri Mirch Powder,Goldiee,90,45,Grocery,Masala & Spices,100 gm,"Overview Mircha Kashmiri is bred for their high colour retention since they redden anything capable of absorbing colour. The roasted Kashmiri chilli has a very pleasant aroma. It can redden anything that is capable of absorbing colour like oil and surface of the meat, etc. This powder is a blend of medium quality red pepper mostly used for tandoori dishes.  Ingredients Kashmiri Chilli.",Grocery > Masala & Spices
Maggi Masala Magic,Maggi,100,90,Grocery,Masala & Spices,120 gm,"Key Features- Maggi Masala Magic is a delicious combination of ten aromatic and roasted spices.- It's the hidden ingredient that elevates the flavour of ordinary vegetables.- Your children will now be enamoured with everyday vegetables.- Can be used in sabzi, dal, paneer, pasta, and other dishes.- Each serving (2g) contains 15% of your daily vitamin A, iron, and iodine requirements.How to Use  -Prepare any meal as you would for your family.- Before turning off the heat, sprinkle a sachet or less as per your need on top. Any Other Must - Know Information Maggi Masala-ae-Magic is the magic, secret ingredient for those who cook daily as it enhances the taste of every day vegetables and makes them extra-ordinarily tasty. This perfect blend of 10 choicest, aromatic and roasted spices is a great cooking aid to mothers everywhere because it adds that flavourful taste and aroma to your everyday dishes, which is loved by kids. Maggi Masala-ae-Magic share bag contains 20 single serve sachets that can be used for a variety of everyday dishes that range from vegetables like aloe gobhi, bhindi, dal, paneer etc. To pasta, biryani and many more. About the Brand NESTLÉ's relationship with India dates back to 1912, when it began trading as The NESTLÉ Anglo-Swiss Condensed Milk Company (Export) Limited, importing and selling finished products in the Indian market.",Grocery > Masala & Spices
Suhana Mutter Paneer Mix Masala,Suhana,45,33,Grocery,Masala & Spices,50 gm,"Ingredients Onion, Cashew Nuts, Milk Solids, Salt, Sugar, Coriander, Garlic, Corn Starch, Chilli, Cumin, Turmeric, Tomato Powder, White Pepper, Dry Ginger, Fennel, Star anise, Bayleaf, Clove, Green Cardamom, Cassia.  How to Use Make the paste of Suhana Paneer Butter with milk. Heat the oil in a pan, add tomato puree and cook it till the oil oozes out. Add mutter & paneer and cook it till gravy thickens. Garnish with fresh butter & serve hot.",Grocery > Masala & Spices
Ramdev Turmeric Powder,Ramdev,70,60,Grocery,Masala & Spices,200 gm,"Overview:Turmeric's dried root gives flavour and a golden yellow colour to many Indian dishes. Ramdev Turmeric Powder is manufactured from one of the finest quality spotless Turmeric from select Indian farms, twice polished to enhance taste, colour and flavour.Apart from adding a rich, gold colour to the food, Haldi powder provides numerous health benefits too. Apart from using it in food, turmeric powder is consumed in milk as well. Haldi milk is best to boost immunity. You can use turmeric powder for home-based beauty treatments also.Ingredients:Turmeric Powder.Health Benefits:Since Ramdev Turmeric powder is available in its purest form, it is often used as a home remedy to stop bleeding due to cuts or bruises.Turmeric stands out as one of the most powerful antioxidant plants in the world due to the presence of curcumin and curcuminoids in its composition. The essential oils and curcumin also make it a powerful medicinal powder.In addition, turmeric contains vitamins (C, E, K, B1, B2), including vitamin B6 in large quantities, but also many minerals. These are zinc, iron, magnesium, phosphorus, manganese, copper, and potassium.Powerful natural anti-inflammatory.Contributes to the protection of the joints.Improves digestive comfort.Maintain liver health and facilitate fat loss.Antioxidant properties to fight against oxidative stress.Contributes to a good nervous balance.Helps limit the accumulation of fat.Application:Some Ramdev turmeric-based recipes are very popular, such as golden milk or haldi latte. This is very simple to prepare, healthy and tasty which allows you to benefit from all the properties of this spice. The haldi latte is a delicious elixir to be enjoyed hot and which has a miraculous effect on our mood and our health.Ramdev Turmeric powder make a simple brew for digestion. Just mix a tablespoon of powdered turmeric and a pinch of black pepper to a cup of simmering water. Let steep for 10 minutes before filtering and consuming. Two cups a day are recommended. This infusion stimulates the immune system, detoxifies, and, drinking it in the morning, will give you energy for the whole day.Storage Condition: Store in a cool and dry place.",Grocery > Masala & Spices
Badshah Chat Masala,Badshah Masala,67,47,Grocery,Masala & Spices,100 gm,India,Grocery > Masala & Spices
Suhana Chicken Gravy Mix,Suhana,50,32,Grocery,Masala & Spices,80 gm,Overview Chicken Gravy Spice Mix is the simple but very tasty version of Indian Chicken Recipes. There are some recipes which always remain our favourites and we can never be tired of cooking them over and over again.,Grocery > Masala & Spices
Badshah Biryani Pulav Masala,Badshah Masala,130,95,Grocery,Masala & Spices,100 gm,India,Grocery > Masala & Spices
Bedekar Ready Mix Pickle Masala,Bedekar,70,55,Grocery,Masala & Spices,100 gm,"Overview:Bedekar's Ready Pickle Mix is useful for quickly preparing lip eating pickles that will last throughout the year. It can also be used to make vegetable pickles such as flower, carrot, and beetroot.About the BrandFor them at Bedekar, home used to be a much smaller space. Their pickles and spices crossed our own threshold at the turn of the century, and travelled over the seas to many new homes all over the world. Their small business in Mumbai blossomed into an award-winning, globally recognised, and adored company.",Grocery > Masala & Spices
Kubal SP Sunday Malvani Masala,Kubal,815,407,Grocery,Masala & Spices,1 kg,"Overview Kubal presents their authentic range of masalas that are blended with a wide variety of quality ingredients from the House of Kubal. The masala contains no artificial colouring and these selected spices will bring a whole new flavour and meaning to your dishes.  IngredientsChilli, Coriander, Turmeric, Black Pepper, Cumin, Mustard seeds, Fennel Seeds, Cloves, Cassia, Stone Flower, Cardamom, Cloves Leaves, Tej Patta, Dry Ginger(All ingredients in powder form).  How to Use Add Kubal Sunday masala in prepared Veg/non-veg. with usual spices in oil/ghee of your choice. Add salt & water. Allow it to boil till the desired taste is achieved.",Grocery > Masala & Spices
Suhana Paneer Makhanwala Mix Masala,Suhana,40,29,Grocery,Masala & Spices,50 gm,"Key Features- No added MSG, no artificial flavours, no added colours & preservatives.- Lip-smacking taste, super convenient & cooks in minutes.- Low Temperature Grinding so that the spices retain their Freshness and Aroma.- Reduce cooking preparation time by using Suhana spice mixes range. - Use 'Suhana Paneer Makhanwala' to create a truly memorable meal!- Each Pack Serves 4.",Grocery > Masala & Spices
Ching's Schezwan Fried Rice Masala,Ching's,60,48,Grocery,Masala & Spices,5 U,"Overview:Are you a fan of Desi Chinese masala delicacies? Now enjoy authentic Schezwan fried rice prepared with Ching's Secret Schezwan Fried Rice Masala. Whats more, this Chinese masala is easy to cook and requires no big effort. Use this fiery fried rice masala to relish your favourite Chinese rice dish every day at home.Key FeaturesPure Veg MasalaEasy to cook masala mixNo need to add salt, spice or sauceBest masala for an authentic tasteServes 2 peopleHow To UseLightly fry chopped veggiesAdd cooked riceGently mix in a whole pack of Schezwan Fried Rice MasalaCoat well with the rice masala and cook until doneServe hotAbout the BrandSince 1995, Chings has made people salivate, sniff and smile  all at the same time. The Chings range of sauces, masalas, soups, noodles, snacks, instant meals and chutneys are a mind-blowing blend of Indian masalas and Chinese spices.No wonder Desi Chinese is Indias second largest cuisine and the soul food of the country from Kashmir to Kanya Kumari.",Grocery > Masala & Spices
Everest Kutilal Chilli Powder,Everest,54,45,Grocery,Masala & Spices,100 gm,"OverviewA coarse-ground red chilli powder of the finest quality, distinguished by its bright red colour and mild pungency.Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of pungency. It is America's most important contribution to the world of spices, though today it is one of India&rsquo;s major export attractions.Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other states. The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.Chillies are used in Indian dishes for their hot taste and reddish colour. Red chilli ground together with coconut gives curry a firm texture. Chillies are a great source of vitamin C and good for digestion.About the BrandEverest is India's No. 1 spice brand as per A.C.Nielsen (Independent Research Agency). Everest offers a wide range of 45 varieties of spices (whole spices and blends) with fifty-two years of dedication to maintaining the same standards of purity, freshness and authenticity in every pack, getting their aroma and flavour, consistently right.",Grocery > Masala & Spices
Everest Kutilal Chilli Powder,Everest,108,100,Grocery,Masala & Spices,200 gm,"OverviewA coarse-ground red chilli powder of the finest quality, distinguished by its bright red colour and mild pungency.Chilli is a heating spice and comes in a wide variety of shapes, sizes, colours, and degrees of pungency. It is America's most important contribution to the world of spices, though today it is one of India&rsquo;s major export attractions.Indian chilli is grown in Andhra Pradesh, Maharashtra, Karnataka, Madhya Pradesh, Tamil Nadu and a number of other states. The highly pungent 'Guntur' and the mildly pungent 'Byadgi' chillies are internationally recognised as the finest in quality.Chillies are used in Indian dishes for their hot taste and reddish colour. Red chilli ground together with coconut gives curry a firm texture. Chillies are a great source of vitamin C and good for digestion.About the BrandEverest is India's No. 1 spice brand as per A.C.Nielsen (Independent Research Agency). Everest offers a wide range of 45 varieties of spices (whole spices and blends) with fifty-two years of dedication to maintaining the same standards of purity, freshness and authenticity in every pack, getting their aroma and flavour, consistently right.",Grocery > Masala & Spices
